Attendance,AssignmentScore,MidtermScore,FinalScore,Result
62.99,93.98,75.5,62.53,Pass
89.09,78.41,62.67,40.31,Fail
75.78,65.57,75.44,44.15,Pass
71.73,80.45,52.28,51.53,Pass
90.59,64.99,80.4,32.69,Pass
69.55,87.6,94.69,40.52,Pass
61.1,75.54,84.27,74.07,Pass
59.32,68.39,51.87,33.85,Fail
85.27,76.72,71.51,28.04,Pass
62.63,46.44,41.72,47.4,Fail
99.06,53.1,75.3,74.64,Pass
53.02,52.09,73.11,56.06,Fail
98.36,72.14,31.34,50.71,Fail
80.53,95.99,44.09,60.89,Pass
76.84,100.0,59.9,25.09,Pass
71.46,79.57,59.58,69.89,Pass
82.79,77.51,43.23,67.67,Pass
77.55,42.98,72.0,51.81,Pass
91.24,61.86,69.53,80.12,Pass
79.37,58.18,61.5,37.45,Fail
79.8,60.69,51.4,82.56,Pass
73.64,67.48,83.88,63.09,Pass
77.32,62.92,94.8,53.27,Pass
81.69,40.31,56.3,59.6,Fail
57.48,81.22,53.98,57.85,Fail
61.82,53.91,73.84,84.41,Pass
86.92,73.59,58.56,38.47,Fail
80.05,100.0,62.49,44.75,Pass
75.79,56.21,78.31,80.73,Pass
78.22,32.05,30.63,48.09,Fail
82.17,65.71,88.73,78.01,Pass
71.52,86.51,66.31,93.99,Pass
68.66,99.38,57.59,51.96,Pass
80.35,51.56,63.39,73.63,Pass
66.26,77.45,64.32,36.93,Fail
82.9,63.02,33.84,75.09,Pass
57.57,68.41,91.91,63.99,Pass
90.35,100.0,65.74,69.46,Pass
83.67,47.46,72.97,47.09,Pass
81.07,73.81,82.13,26.78,Fail
89.79,77.02,46.62,70.07,Pass
97.99,86.29,73.52,18.73,Fail
90.17,71.47,60.18,53.65,Pass
55.91,74.62,80.24,78.82,Pass
62.65,64.13,26.71,63.84,Pass
70.5,74.04,63.22,98.97,Pass
78.31,64.85,54.15,80.5,Pass
84.21,79.32,72.78,46.92,Pass
69.29,64.46,73.46,60.55,Fail
80.24,75.66,52.26,59.05,Pass
68.94,69.56,52.18,28.36,Fail
70.66,86.89,63.01,41.19,Fail
61.12,69.23,48.86,48.78,Pass
66.92,43.4,80.16,19.28,Fail
61.78,88.93,58.35,60.95,Pass
66.29,56.41,12.67,55.02,Fail
90.64,60.19,58.25,26.54,Fail
66.61,61.07,46.31,68.08,Pass
100.0,90.62,35.64,74.32,Pass
83.92,37.96,42.73,64.54,Fail
80.22,100.0,66.97,53.52,Pass
67.7,85.84,88.92,71.83,Pass
86.4,73.35,70.64,73.6,Pass
71.09,69.18,54.08,66.15,Fail
79.46,74.28,73.21,43.51,Pass
100.0,77.82,56.74,65.53,Pass
76.85,79.68,52.5,83.91,Pass
91.79,78.33,44.22,48.07,Pass
69.56,71.34,33.47,100.0,Pass
77.58,67.04,57.98,49.49,Pass
99.25,67.73,67.84,60.65,Pass
70.48,67.08,63.26,46.55,Pass
99.75,87.01,57.51,64.47,Pass
86.49,78.9,47.98,25.16,Fail
71.25,25.89,75.95,49.08,Fail
85.59,79.84,41.29,38.16,Fail
89.67,72.92,78.97,62.71,Pass
85.46,69.72,46.96,79.89,Pass
59.16,64.17,51.46,72.92,Fail
69.27,86.86,38.6,12.57,Fail
75.03,84.21,55.97,100.0,Pass
77.11,58.41,82.56,65.91,Pass
85.45,76.11,74.28,44.47,Pass
80.13,55.43,82.61,63.14,Pass
61.98,49.31,74.4,63.52,Pass
82.56,60.6,45.13,46.66,Pass
85.33,82.94,59.05,63.96,Pass
84.72,84.3,50.96,47.85,Pass
90.97,77.7,88.95,51.91,Pass
88.01,80.88,43.46,46.27,Fail
83.51,77.74,81.09,31.35,Fail
77.16,60.38,81.07,62.92,Pass
58.07,76.48,97.93,71.71,Pass
83.16,82.01,57.63,70.3,Pass
80.49,81.31,77.82,76.4,Pass
81.26,87.83,100.0,66.49,Pass
62.68,80.62,53.88,49.35,Pass
65.03,75.27,37.37,76.79,Pass
90.64,86.05,31.16,32.85,Fail
77.53,69.6,77.83,41.99,Pass
86.18,56.77,31.1,40.72,Fail
78.34,67.55,58.3,81.6,Pass
78.36,58.83,72.87,78.86,Pass
89.26,59.87,68.33,69.75,Pass
71.81,67.83,72.66,81.44,Pass
79.15,58.11,69.0,42.41,Fail
72.45,65.38,88.02,66.97,Pass
72.79,41.6,47.86,57.5,Fail
74.29,73.2,52.81,76.94,Pass
80.67,70.02,51.09,57.7,Fail
72.26,57.74,79.94,52.3,Pass
93.07,79.89,81.21,70.82,Pass
67.26,84.06,73.12,77.52,Pass
75.76,45.89,86.3,46.63,Pass
72.72,58.56,43.8,58.78,Pass
95.36,58.46,95.01,38.83,Pass
80.36,55.9,92.42,10.04,Fail
90.38,82.44,78.24,64.01,Pass
60.17,67.09,97.07,72.18,Pass
81.2,66.03,35.18,65.24,Pass
88.68,39.94,55.56,21.01,Fail
78.99,79.53,51.76,52.98,Pass
90.79,51.41,77.99,15.63,Fail
71.79,70.9,46.1,87.39,Pass
94.91,74.16,78.63,38.28,Fail
100.0,90.41,89.67,85.11,Pass
73.65,50.37,77.51,78.92,Pass
72.65,24.71,70.11,41.99,Pass
95.44,72.76,47.22,37.34,Fail
96.95,97.01,49.76,67.01,Pass
71.73,88.58,87.49,43.11,Pass
72.96,73.14,79.03,62.05,Pass
74.62,62.63,64.3,50.34,Pass
61.87,82.11,57.48,24.38,Fail
66.98,55.4,28.54,15.39,Fail
65.95,77.15,45.72,64.53,Pass
68.79,77.58,99.41,48.77,Pass
77.58,85.9,41.95,48.94,Fail
80.81,100.0,68.41,73.92,Pass
96.61,75.89,83.13,83.47,Pass
66.02,62.37,42.41,54.55,Fail
89.81,69.62,68.32,53.19,Pass
75.43,43.46,81.88,70.0,Pass
77.41,59.58,65.22,32.86,Fail
86.1,63.86,100.0,64.46,Pass
64.53,62.14,34.97,71.04,Fail
82.59,72.29,84.06,73.6,Pass
80.0,57.66,61.89,21.26,Fail
83.91,86.82,78.89,44.77,Pass
81.47,70.0,72.94,42.43,Pass
100.0,69.86,51.8,62.0,Pass
70.35,65.08,69.12,69.61,Pass
71.63,72.33,31.56,89.93,Pass
70.52,82.38,75.86,50.1,Pass
71.33,56.99,70.37,50.05,Pass
70.35,60.13,76.5,82.99,Pass
92.27,65.44,84.05,65.93,Pass
95.05,49.81,71.62,85.35,Pass
71.15,57.71,67.67,65.77,Pass
68.01,62.86,49.14,36.86,Fail
83.66,83.12,52.18,33.34,Fail
71.37,73.94,86.36,28.97,Pass
85.6,72.9,90.85,73.24,Pass
80.44,82.76,60.71,83.77,Pass
59.81,67.94,65.83,96.99,Pass
96.57,75.86,48.72,76.86,Pass
99.55,68.45,86.11,83.26,Pass
70.65,73.98,76.98,48.4,Pass
73.35,61.26,99.94,36.87,Fail
81.43,33.42,49.19,77.0,Pass
82.01,67.99,58.2,68.35,Pass
85.9,91.34,69.17,62.15,Pass
100.0,83.89,76.64,67.75,Pass
75.88,84.48,61.12,66.46,Pass
68.42,88.54,49.29,85.68,Pass
61.45,71.33,80.87,85.9,Pass
69.23,72.96,77.98,70.88,Pass
77.6,60.74,48.51,76.92,Pass
99.53,65.26,89.4,70.28,Pass
71.79,79.24,86.06,50.78,Pass
80.69,88.06,67.42,75.13,Pass
77.8,67.91,66.43,32.11,Fail
92.26,63.25,74.97,81.08,Pass
100.0,70.01,49.49,36.11,Fail
71.63,79.02,65.54,65.72,Pass
72.13,48.34,26.26,43.1,Fail
90.53,35.56,80.78,71.07,Pass
86.18,61.74,36.89,59.32,Fail
100.0,51.69,92.06,28.1,Fail
85.01,62.38,59.06,68.41,Pass
73.69,67.78,61.19,48.44,Fail
85.09,63.2,53.7,77.62,Pass
91.3,91.79,59.82,60.03,Pass
87.85,74.9,90.53,67.91,Pass
84.09,74.51,20.22,40.85,Fail
90.8,79.33,87.99,48.21,Pass
92.03,52.92,71.08,50.83,Fail
94.59,85.59,43.27,77.13,Pass
85.78,68.86,45.64,93.55,Pass
75.99,80.06,95.18,43.9,Pass
79.76,53.92,47.98,81.54,Pass
92.48,46.69,44.24,16.61,Fail
68.2,82.27,85.47,36.12,Pass
82.42,75.65,71.09,40.82,Pass
73.28,56.47,48.12,32.95,Fail
78.34,56.96,68.9,28.33,Fail
93.34,86.88,46.54,68.26,Pass
80.29,52.16,84.81,55.72,Pass
78.56,94.64,84.1,67.59,Pass
61.68,56.49,74.58,73.81,Pass
86.96,79.58,71.51,65.31,Pass
85.75,65.07,96.7,73.16,Pass
100.0,79.05,64.99,58.61,Pass
74.31,61.84,43.73,36.26,Fail
80.63,67.56,73.09,81.16,Pass
80.99,70.61,100.0,48.22,Pass
96.93,54.97,46.73,41.29,Fail
76.86,81.11,58.49,56.44,Pass
81.35,62.3,72.5,41.74,Fail
85.29,66.57,64.03,51.65,Pass
80.24,55.08,47.32,66.88,Pass
72.64,31.56,85.19,66.97,Pass
80.33,67.13,100.0,42.04,Fail
90.88,100.0,68.53,50.25,Pass
65.68,81.77,48.73,81.49,Pass
79.6,69.71,37.12,69.93,Fail
69.6,66.06,69.64,100.0,Pass
92.34,70.34,84.87,83.6,Pass
59.72,78.21,73.55,82.89,Pass
71.29,52.29,64.96,32.24,Fail
82.53,86.71,54.39,75.28,Pass
96.79,80.73,45.34,58.94,Pass
77.21,80.77,80.03,48.98,Pass
71.34,76.58,81.45,63.36,Pass
100.0,70.29,37.18,78.9,Pass
60.62,80.09,93.62,70.02,Pass
51.61,78.88,75.33,42.43,Fail
83.28,64.69,90.19,74.85,Pass
71.98,61.4,40.84,47.25,Fail
65.75,71.53,40.42,64.33,Pass
86.5,93.24,62.32,53.93,Pass
80.93,51.41,74.05,55.62,Pass
71.23,47.99,97.33,75.32,Pass
62.64,72.47,77.71,39.2,Pass
88.47,70.76,60.63,98.9,Pass
85.8,72.6,46.53,23.58,Fail
76.81,73.66,87.14,48.05,Pass
100.0,66.65,47.64,67.4,Fail
65.16,92.35,94.31,71.69,Pass
59.69,45.99,59.88,57.99,Fail
69.7,57.57,93.63,58.85,Pass
77.45,68.45,77.22,68.21,Pass
80.92,45.35,62.53,55.38,Fail
75.11,67.36,55.65,87.86,Pass
82.22,94.92,58.86,76.79,Pass
62.98,70.31,72.71,77.46,Pass
95.33,73.46,66.39,40.68,Fail
77.01,51.1,54.31,58.41,Fail
91.41,60.75,62.02,53.99,Fail
82.11,64.37,66.41,39.89,Pass
83.48,65.23,26.68,67.2,Fail
84.84,89.22,73.25,49.25,Pass
83.37,78.37,47.37,73.11,Pass
85.71,53.33,44.24,38.6,Fail
93.95,73.7,34.63,94.38,Pass
80.36,77.47,32.71,42.07,Fail
86.51,87.1,40.6,64.39,Pass
76.92,93.71,52.24,75.84,Pass
95.28,54.77,100.0,48.59,Pass
69.88,57.84,55.53,77.05,Pass
99.61,51.14,68.2,35.42,Fail
77.52,66.49,72.21,89.04,Pass
60.83,77.0,67.36,60.28,Fail
79.54,84.81,63.61,48.07,Pass
69.83,68.86,43.48,54.02,Fail
88.09,65.2,91.12,76.18,Pass
70.17,72.28,97.53,48.31,Pass
72.65,57.47,34.71,45.01,Fail
55.33,100.0,46.57,55.57,Fail
72.57,45.89,59.96,36.46,Fail
48.91,72.77,47.64,96.41,Pass
58.99,100.0,74.11,48.67,Pass
87.12,70.1,51.89,76.63,Pass
87.43,67.15,100.0,64.19,Pass
83.11,64.64,86.43,40.31,Pass
66.4,67.29,68.83,59.88,Pass
77.43,90.59,83.49,75.68,Pass
77.96,36.82,84.91,56.23,Pass
64.1,93.0,54.85,83.86,Pass
96.04,48.64,50.31,80.43,Pass
88.53,66.0,66.41,78.38,Pass
75.35,63.56,80.51,50.81,Fail
78.32,78.83,67.5,38.4,Pass
80.5,46.03,36.61,47.73,Fail
53.5,76.93,50.55,63.92,Fail
75.03,100.0,63.67,70.92,Pass
69.82,49.55,63.64,16.57,Fail
65.98,72.85,100.0,59.84,Pass
74.63,60.07,40.05,63.16,Fail
99.57,76.39,74.1,54.45,Pass
85.69,70.29,91.8,85.83,Pass
71.15,60.38,100.0,68.44,Pass
84.87,77.32,57.72,86.2,Pass
94.79,97.07,73.85,55.68,Pass
89.1,67.14,75.26,78.75,Pass
78.72,80.8,68.52,92.7,Pass
70.24,50.6,63.22,86.23,Pass
86.38,55.65,72.85,38.16,Pass
82.72,77.09,19.42,54.93,Fail
88.74,92.26,77.28,53.1,Pass
85.62,75.33,67.27,69.79,Pass
90.59,65.3,61.0,73.73,Pass
71.58,69.99,100.0,43.22,Pass
93.81,51.24,52.85,61.36,Pass
80.37,79.07,57.74,19.6,Pass
100.0,83.23,100.0,88.84,Pass
69.73,63.22,50.02,49.75,Fail
98.83,62.95,55.1,61.12,Fail
80.37,73.99,62.35,53.81,Pass
70.18,63.45,80.13,82.92,Pass
72.19,69.01,68.74,3.25,Fail
74.16,100.0,41.73,59.67,Fail
83.09,66.29,55.42,57.88,Pass
84.27,64.62,54.07,50.93,Pass
71.12,60.29,63.61,94.52,Pass
77.71,81.16,72.67,42.25,Fail
100.0,67.28,72.53,75.44,Pass
98.73,60.26,33.03,67.13,Pass
83.24,89.82,84.15,85.23,Pass
78.46,91.29,69.55,46.66,Pass
79.44,60.99,89.92,45.34,Pass
85.36,42.0,73.0,81.92,Pass
65.73,85.11,84.82,68.51,Pass
74.91,59.73,73.4,29.1,Fail
57.98,81.86,89.23,49.21,Pass
82.79,40.45,74.4,67.73,Pass
85.77,83.39,63.24,76.76,Pass
72.2,51.83,100.0,46.42,Pass
96.89,80.96,81.0,1.71,Fail
63.29,70.21,75.33,70.46,Pass
60.43,55.69,42.03,35.59,Fail
80.69,63.89,41.81,19.65,Fail
90.57,80.29,70.27,3.35,Fail
98.21,71.59,67.62,76.28,Pass
72.49,78.77,53.95,62.57,Fail
90.94,99.65,67.54,55.49,Pass
77.54,46.54,93.6,87.78,Pass
75.93,94.26,77.52,72.75,Pass
88.6,71.57,44.46,92.33,Pass
85.83,56.52,62.99,32.15,Pass
59.08,50.05,50.51,59.31,Fail
95.72,67.16,58.02,27.67,Fail
94.56,83.82,57.55,55.41,Pass
70.49,68.09,56.4,55.03,Pass
82.75,92.67,42.41,72.53,Pass
83.93,48.23,62.7,60.91,Pass
81.13,69.82,54.91,72.47,Pass
71.4,51.21,12.27,74.07,Fail
69.94,75.45,100.0,100.0,Pass
77.69,83.3,84.6,53.69,Pass
92.07,63.69,58.23,41.18,Fail
84.52,30.94,65.34,64.92,Pass
73.55,72.98,43.91,43.95,Fail
87.26,76.55,95.52,89.64,Pass
43.82,76.06,99.15,54.34,Pass
91.79,88.54,67.82,48.69,Pass
57.12,53.93,83.42,50.57,Fail
73.65,80.2,68.16,74.37,Pass
64.56,87.89,40.94,56.85,Fail
62.46,43.32,57.59,47.17,Fail
91.93,74.79,67.37,93.31,Pass
72.39,62.44,56.82,42.88,Fail
82.16,68.78,61.06,60.71,Pass
77.44,75.22,63.35,73.05,Pass
83.72,62.69,63.54,27.37,Fail
78.92,59.86,65.94,69.61,Pass
62.6,70.51,45.91,38.9,Fail
89.96,53.69,52.09,76.46,Pass
72.07,53.71,41.88,40.75,Fail
59.32,80.19,82.6,73.86,Pass
72.86,52.77,27.1,82.12,Pass
96.01,79.99,85.76,77.23,Pass
88.2,76.94,89.95,65.03,Pass
73.82,44.11,59.56,55.37,Fail
73.81,59.84,18.14,48.47,Fail
74.14,87.91,58.5,89.42,Pass
100.0,55.28,63.84,46.01,Fail
82.58,63.03,46.81,39.26,Fail
83.16,76.93,55.73,73.31,Pass
90.36,81.75,92.54,44.08,Pass
80.87,66.23,76.97,41.0,Fail
74.89,61.04,48.36,31.13,Fail
75.64,91.34,36.24,50.34,Fail
77.14,96.08,59.11,58.35,Pass
77.55,84.68,61.16,64.86,Pass
86.73,71.28,73.93,79.03,Pass
78.62,57.88,55.36,70.54,Fail
86.79,57.54,74.21,56.18,Pass
77.03,77.84,99.83,56.04,Pass
78.94,76.28,79.68,70.2,Pass
54.02,91.02,64.13,85.45,Pass
89.0,79.76,61.7,62.53,Pass
82.16,47.45,58.58,50.62,Pass
89.98,85.78,86.25,40.14,Pass
43.24,55.03,53.71,31.1,Fail
100.0,64.24,65.81,73.33,Pass
76.32,73.75,65.92,71.56,Pass
91.3,99.94,55.97,71.55,Pass
65.52,100.0,40.3,57.43,Pass
85.35,79.1,70.81,88.14,Pass
65.36,67.25,63.9,50.32,Fail
70.51,78.02,74.0,79.11,Pass
100.0,83.31,55.4,59.23,Pass
75.71,65.19,86.97,47.83,Pass
80.61,96.93,49.22,71.85,Pass
88.44,73.45,95.82,68.19,Pass
83.95,77.47,33.54,67.14,Pass
79.81,79.99,72.83,61.63,Pass
82.38,76.32,73.56,59.24,Pass
100.0,82.58,50.68,100.0,Pass
77.31,60.74,72.64,83.69,Pass
80.41,61.63,88.03,74.46,Pass
90.61,53.5,25.1,62.24,Fail
91.27,76.59,74.05,80.14,Pass
92.24,81.68,20.12,70.36,Pass
85.66,76.87,47.62,60.52,Pass
64.28,95.12,94.32,53.93,Pass
97.6,69.92,54.53,58.38,Fail
64.24,80.03,43.87,0.0,Fail
81.63,53.62,61.44,64.21,Pass
68.95,64.19,100.0,50.23,Pass
77.23,80.43,32.03,91.85,Pass
81.95,82.74,46.08,60.39,Pass
81.86,65.59,91.95,36.22,Pass
83.06,68.93,98.44,59.0,Pass
97.36,47.23,63.14,39.08,Fail
83.44,64.64,42.7,69.47,Fail
75.07,83.36,100.0,65.82,Pass
89.57,78.63,93.7,79.16,Pass
92.27,77.51,77.22,44.18,Pass
63.27,70.75,50.38,60.68,Fail
85.17,70.11,64.12,32.7,Pass
86.41,60.1,62.11,74.03,Pass
74.43,80.48,70.96,70.38,Pass
94.51,76.31,91.12,69.92,Pass
76.2,77.38,80.83,60.03,Pass
79.51,62.11,45.61,68.3,Fail
75.92,37.7,89.78,92.09,Pass
78.19,86.46,70.64,54.3,Pass
64.84,62.82,77.37,62.77,Pass
60.72,57.06,91.4,38.28,Pass
97.13,80.4,44.99,42.63,Fail
67.84,64.12,64.36,61.96,Fail
66.1,85.9,55.43,82.08,Pass
52.16,79.26,36.78,54.87,Fail
70.33,80.25,71.24,55.28,Pass
62.12,49.51,100.0,51.86,Pass
97.7,88.18,31.88,49.3,Pass
90.12,73.92,64.42,65.9,Pass
69.74,64.46,76.53,30.05,Fail
100.0,72.15,67.22,85.62,Pass
89.78,43.36,62.96,46.69,Fail
74.1,76.13,41.61,74.44,Pass
48.01,54.56,69.19,34.6,Fail
100.0,49.71,51.38,73.38,Pass
61.33,47.16,25.58,73.44,Fail
58.26,86.69,86.5,67.68,Pass
90.27,60.56,82.25,40.11,Pass
100.0,93.01,65.93,64.99,Pass
94.61,61.96,69.12,36.34,Pass
84.77,44.39,84.34,54.94,Pass
85.14,53.25,69.04,80.59,Pass
88.24,88.54,81.27,75.93,Pass
87.11,67.66,59.65,60.3,Pass
81.37,61.78,88.62,40.5,Pass
79.25,72.4,70.77,72.91,Pass
77.25,77.53,68.49,60.39,Fail
68.95,86.76,42.14,13.59,Fail
74.63,91.73,70.17,75.65,Pass
57.68,64.6,50.02,59.52,Pass
76.82,50.11,53.51,84.05,Pass
66.14,63.8,50.32,38.09,Fail
64.76,73.9,45.81,0.0,Fail
80.16,55.54,100.0,65.58,Pass
94.7,55.64,88.96,65.83,Pass
89.02,75.16,99.57,26.19,Pass
59.15,69.27,42.99,40.43,Fail
66.12,70.49,66.28,100.0,Pass
89.29,58.62,41.72,53.89,Fail
66.21,66.54,52.48,74.62,Pass
75.3,56.14,48.47,46.99,Fail
84.6,83.35,87.31,18.19,Pass
66.38,85.53,57.87,56.59,Pass
79.26,42.31,84.23,54.69,Pass
61.99,56.06,75.87,52.0,Pass
70.78,47.55,100.0,57.71,Pass
81.84,60.25,38.37,65.29,Pass
58.88,68.75,87.67,57.0,Pass
83.29,48.26,85.64,34.72,Pass
77.76,56.17,47.48,69.72,Pass
84.63,54.94,83.13,21.01,Fail
80.69,73.11,71.05,18.99,Fail
94.37,71.04,60.91,74.78,Pass
